filepath,label
dataset\Tomato___Bacterial_spot\1ee0cf88-307d-4c0c-af30-6031c2cbd256___GCREC_Bact.Sp 5840_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\b88f6060-ca8b-4c4d-bd4c-1ec1ae186b71___GHLB2 Leaf 8711_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Early_blight\95f5cf16-3e2d-4b96-9f3d-732cf1c60d6e___RS_Erly.B 7564_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Late_blight\71fdeb76-d0e0-40a9-8a58-22d88a1c2b2b___GHLB_PS Leaf 34.1 Day 13_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\d7052146-5be7-4d3d-a2a7-32d4277c26a2___GHLB2ES Leaf 141_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\04483b12-5e9c-4e74-a5b6-e8c87f60b43f___GH_HL Leaf 439_final_masked.jpg,Tomato___healthy
dataset\Tomato___healthy\b41196ab-88ea-4057-bf87-b1435d5a0d1d___GH_HL Leaf 258.1_final_masked.jpg,Tomato___healthy
dataset\Tomato___Bacterial_spot\a88da7e7-fe37-42e3-bbe6-784f82ed1099___GCREC_Bact.Sp 5828_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Bacterial_spot\f7964e03-1651-4a72-8f28-be8626513372___GCREC_Bact.Sp 5591_final_masked.jpg,Tomato___Bacterial_spot
dataset\Tomato___Late_blight\3e01dcb7-e660-4403-861a-59a44d572565___GHLB Leaf 2 Day 7_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\cae87492-704e-472a-8bc4-fea1ce042167___RS_HL 9915_final_masked.jpg,Tomato___healthy
dataset\Tomato___Early_blight\fbc07887-0306-4f85-9de9-ebb68a87753a___RS_Erly.B 7456_final_masked.jpg,Tomato___Early_blight
dataset\Tomato___Late_blight\16a3a1a3-3e8b-4192-999d-2728df11549d___RS_Late.B 4983_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___Late_blight\adf760b7-e95e-4c27-a829-a1105bc53ed4___RS_Late.B 7004_final_masked.jpg,Tomato___Late_blight
dataset\Tomato___healthy\38f54137-3e02-48fb-9fc1-0d444a13c40b___GH_HL Leaf 456_final_masked.jpg,Tomato___healthy
